City236,1.3494,1.20791
City387,2.0002,1.72774
City459,1.41107,1.23705
City213,1.5468,1.26648
City110,0.75278,0.76863
City276,2.35959,1.19195
City428,1.54863,1.53512
City24,1.60343,0.36692
City398,2.15411,2.05598
City415,2.17688,1.39713
City423,1.71542,1.3749
City112,0.72752,0.77231
City448,0.98694,0.84781
City545,1.80446,0.69978
City508,1.63488,0.68765
City10,1.47997,0.46265
City477,2.18424,0.46391
City232,1.09706,1.19132
City69,1.44661,0.8127
City170,0.85282,0.53141
City134,0.77483,0.69463
City565,1.44019,0.97879
City29,1.46831,0.37262
City48,1.93086,0.43544
City205,1.0785,1.02196
City58,1.84922,0.20916
City221,1.50891,1.16326
City566,1.72742,0.97
City260,2.3427,1.24158
City343,1.99135,0.55913
City564,1.49012,0.98592
City401,2.44502,2.15102
City510,1.30594,0.77059
City246,1.37599,1.37768
City471,2.73087,1.49413
City166,0.98182,0.38843
City537,1.78079,0.8107
City462,0.97611,1.06786
City330,2.35338,0.60583
City376,2.38861,1.80045
City36,1.55719,0.59058
City151,1.24359,0.81529
City575,1.47411,1.0708
City251,0.73664,0.96436
City207,1.01581,1.19928
City534,1.79187,0.61382
City419,1.87193,1.08098
City554,1.75536,0.66683
City585,1.92009,0.96574
City453,1.12711,1.28195
City18,1.65515,0.40777
City548,1.96037,0.73927
City49,1.75899,0.42181
City42,1.49981,0.56244
City285,2.31223,1.0732
City357,2.16542,0.89225
City173,1.10768,0.57183
City40,1.4034,0.56547
City529,1.45824,0.723
City329,2.11815,1.01386
City229,1.21819,1.2308
City315,2.57838,1.32715
City287,2.42019,1.14923
City355,2.31991,0.75826
City62,1.95724,0.15883
City67,1.86008,0.28158
City98,0.43798,0.55893
City2,1.50063,0.33268
City363,2.27276,0.87066
City124,0.59677,0.62638
City54,1.81104,0.5516
City168,0.94953,0.33028
City574,1.68013,1.02556
City380,2.3838,1.54229
City80,1.46454,0.78356
City568,1.56181,1.05614
City243,1.46817,1.68937
City570,1.7916,0.95646
City427,1.66582,1.14877
City563,1.77923,0.8708
City91,0.77302,0.33681
City255,0.82005,1.04498
City455,1.20522,1.32623
City175,1.0197,0.69936
City274,2.41469,1.02778
City55,1.90034,0.35026
City272,2.44632,1.21738
City456,1.36588,1.1088
City144,0.30511,0.55692
City435,1.50183,1.31626
City379,2.25859,1.43187
City101,0.54102,0.58606
City514,1.4145,0.67662
City17,1.47682,0.5031
City507,1.55795,0.88836
City338,2.11742,0.48829
City128,0.64234,0.58448
City136,0.80839,0.55654
City542,1.69136,0.66212
City503,1.30749,0.86582
City535,1.92821,0.69371
City293,2.88285,1.27625
City117,0.79753,0.85476
City484,2.25621,1.7893
City408,1.90962,1.45583
City588,1.33146,0.98765
City407,2.03738,1.43231
City152,1.15348,0.69807
City139,0.72272,0.55044
City463,0.89001,0.91027
City22,1.59737,0.32839
City540,1.9916,0.6185
City193,0.96282,0.89815
City290,2.79002,1.33469
City140,0.31241,0.63597
City445,1.20696,0.70894
City374,2.50225,1.56477
